iter	Passed	Remaining
0	0	82
1	1	75
2	2	70
3	2	64
4	3	64
5	4	65
6	4	63
7	5	64
8	6	63
9	7	63
10	7	63
11	8	61
12	9	61
13	9	60
14	10	61
15	11	60
16	12	59
17	12	58
18	13	57
19	14	57
20	14	55
21	15	55
22	16	54
23	16	53
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	48
31	22	48
32	23	48
33	24	47
34	25	47
35	26	46
36	27	46
37	28	46
38	29	45
39	29	44
40	30	44
41	30	42
42	31	41
43	32	41
44	33	40
45	33	39
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	54	20
73	55	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
